"Index","Seleccione su intervalo de edad","Por favor indique su provincia de nacimiento","¿Cuáles cree que son los posibles beneficios que los estudiantes podrían experimentar al optar por continuar sus estudios en otra provincia?","¿Podría mencionar los posibles obstáculos que los estudiantes podrían enfrentar al mudarse a otra región para seguir estudiando?","¿Tiene la intención de retornar a su provincia una vez que haya concluido sus estudios? Si es de La Habana, puede ignorar esta pregunta.","Fundamentos de su selección","¿Tiene la intención de permanecer en Cuba al concluir sus estudios?","¿podría explicar porqué?","Submitter","Submission Date","Submission ID"
11,"18-22","La Habana","????","Empezar de cero todo","",,"No","Necesita explicación?🤣",,"30/3/2024, 22:22:58","656ef4bb777a4b"
12,"18-22","La Habana","Poder conocer otras provincias ","Separarse de sus familias","",,"No","Voy a reunirme con mi familia ",,"30/3/2024, 22:26:54","1cff9551777a4b"
13,"18-22","La Habana","la verdad es q no tengo ni idea","Demasiados","",,"No","no",,"30/3/2024, 22:33:19","af3f4716777a4b"
14,"18-22","Mayabeque","Mejor desarrollo social  Mejor calidad de estudio  Mejores becas ","Estar lejos de su familia  Pasar trabajo al adaptarse  Que no les guste la carrera y quieran volver ","No",,,,,"30/3/2024, 22:36:20","e4468ee5777a4b"
15,"18-22","La Habana","Mayores oportunidades ","Distanciámento de sus padres","",,"No","Obvio xk no",,"30/3/2024, 22:41:14","db17e0f777a4b"
16,"18-22","Sancti Spiritus","Ninguno ,me gusta estudiar en mi provincia .","El transporte  La alimentación La economía ","Yes","Sí,porque es donde quiero trabajar .",,,,"30/3/2024, 22:47:38","2245c18b777a4b"
17,"18-22","La Habana","beneficios personales en el caso de ser originalmente de esa provincia, plaza asegurada tal vez","burocracia","",,"Yes",,,"30/3/2024, 22:48:16","fbca356d777a4b"
18,"18-22","Artemisa","Mayor rango de posibilidad a la hora de elegir carreras","La beca ","No",,,,,"30/3/2024, 22:50:17","d84dd0dd777a4b"
19,"18-22","Las Tunas","En ocasiones no hay otra opción que esa, debido a que algunas carreras son de ámbito nacional. Sin embargo, instituciones específicas garantizan un abanico más amplio de oportunidades una vez egresado, ya sea por convenios escolares internacionales, por los beneficios económicos-geográficos. Ejemplo sencillo, en La Habana hay una serie de Centros Investigativos que brindan una panorámica imposible de comparar con laboratorios o centros investigativos de otras localidades del país, es por eso que optar por continuar tus estudios en otras provincias puede proporcionarte herramientas para tú desarollo profesional y vías para el desarollo individual y económico.","Está de más decir que la situación económica familiar DEFINE si esto es viable o no. Además, existen situaciones personales como enfermedades o vinculantes que necesiten de la presencia del individuo y le imposibilite trasladarse: dígase la dependencia de un enfermo a la persona, la maternidad/paternidad, etc.","No",,,,,"30/3/2024, 22:53:42","2bf115db777a4b"
20,"18-22","Las Tunas","Mejor oportunidades de trabajo","Deficiencias económicas ","No",,,,,"30/3/2024, 22:54:46","d7e5c776777a4b"
21,"22+","La Habana","Tener mejor preparación ","Estar lejos de su familia ","Yes","Para estar con mi familia ","Yes",,,"30/3/2024, 22:58:30","91eb0186777a4b"
22,"18-22","La Habana","Nuevo entorno, responsabilidad con respecto a finanzas personales y si en su provincia no hay muchas oportunidades estudiar en otra puede ser mejor ","Creo q la falta de apoyo familiar puede ser el mayor obstáculo ya q si tienes un lazo muy fuerte con tu familia te puede resultar muy difícil q no se encuentren en tu mismo entorno ","",,"No","Aunque la educación en Cuba sea una de las mejores pienso q mi futuro será más enriquecedor fuera del país ",,"30/3/2024, 22:58:53","2c709664777a4b"
23,"22+","La Habana","Posibilidades laborales futuras, mejores escuelas, mejores condiciones de vida (apagones, comida, cercanía al centro de estudios sin tener que becarse, transporte) ","Lejanía de la familia, economía, conocimiento del lugar, lejanía del hogar","",,"No","Factor económico, de crecimiento labora, de estar a gusto en el país de forma política y recreativa ",,"30/3/2024, 23:01:27","b8565339777a4b"
24,"18-22","La Habana","Los beneficios que pueden experimentar es poder estudiar otras carreras que no llegan a sus provincias ","Pueden ser varios obstáculos, entre los principales hijos, padres, familia , dejando atrás una serie de costumbres y comenzar una nueva adaptación ","",,"No","Porque si existe la posibilidad de poder viajar y ejercer mis logros como estudiante , sería mi mejor opcion",,"30/3/2024, 23:08:27","5034f54d777a4b"
25,"22+","Holguín ","Poder tener la posibilidad de conocer otras personas y optar por carreras que no llegan a la provincia donde habito","Dejar atrás a mi familia, en mi caso no, pero otros que tienen hijos , viven con sus abuelitos y dejarlos solo","Yes","Porque cuando termine mis estudios , regreso a donde nací y donde me crié con mi familia y amigos",,,,"30/3/2024, 23:12:11","84f55af5777a4b"
26,"18-22","Matanzas","Mejor posibilidades como profesional ","Problemas de adaptación ","Yes","Me gusta la Habana ",,,,"30/3/2024, 23:21:30","26e13bf2777a4b"
27,"18-22","Pinar del Río","Tener más oportunidades ","Adaptarse a su nuevo lugar de residencia, viajar frecuentemente para visitar a su familia dadas las condiciones del transporte ","No",,,,,"30/3/2024, 23:26:34","3a697cc24c2572"
28,"18-22","Cienfuegos (1)","Conocer personas de otras provincias Calidad de la beca y la docencia ","Gastos económicos Estar alejado de sus seres queridos ","No",,,,,"30/3/2024, 23:26:34","da7261164c2572"
29,"18-22","Ciego de Ávila (1)","A buscar nuevas oportunidades ","transporte alimentación vivienda problemas económicos ","No",,,,,"30/3/2024, 23:28:10","86cdc3f94c2572"
30,"18-22","La Habana","Aprender cosas nuevas ","El lugar para quedarse","",,"No","Personal ",,"30/3/2024, 23:40:39","a55d55824c2572"
31,"18-22","Pinar del Río","Una mejor calidad de profesores y carreras","Vivienda, transporte, orientación, personas nuevas, estar alejado de la familia.","No",,,,,"30/3/2024, 23:43:51","92126f0f4c2572"
32,"18-22","Las Tunas (1)","Desempeñar mejor sus conocimientos en una provincia con mejores condiciones ","La distancia de familiares muy cercanos.","No",,,,,"30/3/2024, 23:46:45","2f8a4c24c2572"
33,"18-22","Guantánamo (1)","Obtener mejor calidad en el aprendizaje Abrirse camino en entidades laborales en las q puedan aplicar mejor lo aprendido","PROBLEMAS ECONÓMICOS  Cambios muy radicales en la rutina de vida Separación de los seres queridos  ","No",,,,,"30/3/2024, 23:48:34","2ffbd354cdba5b"
34,"22+","La Habana","Solamente hay beneficios si se estudia en La Habana ","Regionalismo,Racismos, Carencia Material, Becas, Insalubridad, Fatiga","",,"No","Calidad, Estilo y Oportunidad de Vidas y Laboral",,"30/3/2024, 23:53:53","c576017ecdba5b"
35,"22+","Villa Clara (1)","Salir de los campos y la mala vida de aya ","Estar lejos de la casa, comer mal, tener mala concisión económica y no poder merendar, los precios están muy caros","No",,,,,"30/3/2024, 23:55:13","2ec16b0ecdba5b"
36,"18-22","Camagüey (1)","Bueno, si es en mi provincia de origen pues el estar cerca de casa y además en territorio conocido pero por desgracia bioquímica no tiene opciones de estudiar en otro lugar que no sea La Habana ","En primer lugar el estar lejos de casa, de tu familia, tus amigos y tus comodidades. En segundo lugar el hecho de que muchos de nosotros jamás hemos estado tanto tiempo tan lejos y mucho menos por nuestra cuenta y en tercer lugar el tener que acostumbrarse a un nuevo estilo de vida muy diferente al que estabas acostumbrado ","Yes","Hasta el momento no tengo intenciones de permanecer en La Habana luego de concluir mis estudios, por ahora me gustaría regresar a mi provincia y ejercer ahí pero eso no es algo seguro, quizás encuentro un motivo para quedarme aquí ",,,,"31/3/2024, 00:55:11","7dfdaf0ccdba5b"
37,"18-22","Holguín ","nuevas experiencias  nuevas costumbres, puntos de vista, conocer e indagar  otra manera de independencia y de ir abriéndose camino hacia el futuro q está construyendo ","no adaptarse al ambiente no cumplir con las expectativas  no sentirse incluido en el grupo ","No",,,,,"31/3/2024, 00:59:39","e584f094cdba5b"
38,"18-22","Guantánamo (1)","Mayor oportunidad de trabajo Mejor formación académica ","Soledad, la familia siempre es necesaria Problemas con la alimentación ","No",,,,,"31/3/2024, 03:05:53","8b2c2bce46f8ee"
39,"18-22","La Habana","Una mayor facilidad de estudio la cual hará que puedan sostener mejor su carrera sin tener que preocuparse por las dificultades de estar en otra provincia donde no tenga hogar establecido"," Entre que muchos no pueden ver a sus familias, pareja u otros seres queridos. Ni tampoco tocar sus hogares ademas de depender de el deficiente alimento escolar y la necesidad de suplir otras necesidades extra hace que tengan que preparar un presupuesto financiero mayor para el viaje","",,"No"," Quiero vivir en un pais mas estable y seguro economicamente donde pase menos necesidades y que mi trabajo sea bien compensado salarialmente en Cuba cualquier trabajador de la calle cobra mucho mas que muchos professional preparados en universidades siendo unicamente el apego a su carrera los que los hace seguir trabajando en su campo, pero los ideales y la pasión no alimentan a uno el cual espera trabajar con un salario que no de a basto en un pais en ruina economica y que aunque se recupere puede volver a caer en el pozo de desesperación que estamos ahora",,"31/3/2024, 04:58:46","c262646146f8ee"
40,"22+","Matanzas","mayores oportunidades , las cuales no existen en tu lugar de origen","depende de las caracterisiticas de la region, las mas principales son , nostalgia, desabastesimiento , desorientacion.","No",,,,,"31/3/2024, 05:27:04","ebb55dc646f8ee"
41,"22+","Pinar del Río","Principalmente, poder estudiar una carrera que no se estudie en su provincia","Principalmente, el obstáculo económico","No",,,,,"31/3/2024, 07:10:52","266156a6116831"
42,"18-22","Santigo de Cuba (1)","En mi caso que no vivo en municipio cabecera, estudiar en otras provincias significa encontrar mejores oportunidades de empleo, hay mayor desarrollo y muchas posibilidades para prosperar","Siempre está el hecho de estar lejos de la familia, de tu casa, de todo lo que has conocido siempre, las comodidades, etc, además de que costear una universidad en estos tiempos no es nada barato para las familias por lo que hay que hacer grandes esfuerzos","No",,,,,"31/3/2024, 09:40:18","8d049266116831"
43,"18-22","Sancti Spiritus (1)","Conocer más acerca de su país, sus costumbres, conocer nuevas personas, aprender a valerse por sí mismos ","La lejanía de su casa y su familia, verse solos en un lugar nuevo , tener que aprender a realizar las tareas del hogar por ellos mismos, aprender a convivir con los demás estudiantes en su dormitorio ","No",,,,,"31/3/2024, 11:06:10","dcbabdc0116831"
44,"18-22","La Habana","Si es en La Habana, entonces los beneficios radican en q el polo científico está ubicado mayormente aquí, los ministerios y mayor oferta de empleo, lo que amplía las posibilidades ","La vivienda y su manutención lejos de casa","",,"Yes",,,"31/3/2024, 11:28:54","2b6cb4d6116831"
45,"18-22","Matanzas","Estudiar","La beca, el transporte, la alimentación","Yes","No me gusta La Habana",,,,"31/3/2024, 12:57:54","3b4969ec116831"
46,"18-22","La Habana","mejores ofertas de empelo a la hora de graduarse ,","Estar lejos de su familia, no conocer distintos lugares de la región ,imposibilidad de ir a su casa con frecuencia ","",,"No","Quiero nuevos horizontes con mejores ofertas de empleo ,y una mejores condiciones de vida ",,"31/3/2024, 18:16:39","7e576ac4619bc7"
47,"18-22","Granma","Depende de la situación,pueden haber muchas posibilidades por la cual eso podría pasar,una de ellas es por buscar mejores oportunidades,o xq la carrera que quieren estudiar se estudia en otra provincia..","Adaptarse,la situacin economica,ademas de la situación emocional q preaenten..","",,,,,"31/3/2024, 18:27:05","bda1b72619bc7"
48,"18-22","La Habana","ningubo","la distancia entre sus familiares y amigos","",,"No","Porque tengo mas posibilidades de tener una mejor vida y ademas conocer mas",,"31/3/2024, 19:15:16","379fb9bc619bc7"
49,"18-22","La Habana","Conocer nuevos lugares, o en caso de venir a La Habana, mejorar sus condiciones de vida en un futuro, aunque sea un poco ","Estar lejos de la familia sin duda alguna y llegar a un lugar desconocido puede ser chocante muchas veces","",,"No","Sinceramente no lo sé, pero tengo claro q en un futuro me veo más fuera de Cuba q dentro ",,"31/3/2024, 19:52:02","70ac39fc619bc7"
50,"18-22","Las Tunas (1)","idk","economía","No",,,,,"31/3/2024, 21:07:02","d4ba2e53619bc7"
51,"22+","La Habana","Más oportunidades, en casi de irse a la capital a estudiar","La distancia de la familia. Se hace más caro el apoyo logístico de los seres queridos","",,"No","Por que no me gusta este sistema politico",,"31/3/2024, 22:24:05","c66e5b22619bc7"
52,"18-22","La Habana","Ampliar sus horizontes Hacer conexiones Independizarse en cierto modo ","Dificultad con el sustento económico. Comodidad Soledad","",,"No","Cuestiones económicas ",,"31/3/2024, 22:25:17","a74e6ae2619bc7"
53,"22+","Santigo de Cuba (1)","El único beneficio sería si la escuela a la que opta tiene una mejor calidad académica. Y quizás emigrar a La Habana por la pequeña ventaja económica que tiene frente a las demás provincias del país.","Hambre, por las malas condiciones de las becas y por el escenario económico actual del país. Estrés y ansiedad por estar lejos del hogar. Problemas con el transporte si la residencia estudiantil queda lejos de la escuela.","Yes","O",,,,"1/4/2024, 11:25:37","5f4bee65328b62"
54,"18-22","La Habana","-Nuevos programas educativos -Desarrollo de su persona  -Mejor experiencia de vida","-Problema en la mudanza  -Distancia de la familia -Dificultad al independizarse ","",,"No","Por la influencia económica que vive el país, desarrollo profesional y tecnológico y oportunidades de trabajos",,"1/4/2024, 21:39:33","b85818faa3c8e7"
55,"18-22","Mayabeque","El acceso a buenas oportunidades laborales. Te ayudará a crecer como persona y ampliar tus horizontes. Opciones de carreras más diversas.","La lejanía de la familia. La adaptación a un nuevo ambiente. ","No",,,,,"2/4/2024, 12:03:56","ddf93ef8e6e6d3"
56,"22+","La Habana","Acceder a carrera que no se ofertan en su provincia ","Muchos Desarraigo Malas condiciones de vida Mucho gasto de dinero para vivir","",,"Yes",,,"2/4/2024, 15:09:30","b24ad95703f091"
57,"18-22","La Habana","mejor calidad de la enseñanza al tener un claustro con mejor preparación ","separarse de sus familias, adaptarse al cambio, tener que regresar cada cierto tiempo a su region de origen ","",,"No","mejorar mi condición de vida ",,"4/4/2024, 20:56:51","fb5b7b40f500fa"
